,time,prs_tur_down,prs_thr_up_sp,prs_sp_bpa,prs_bpa,prs_thr_up,fup_mes,soi_main1_chk_tu[4],prs_eg[0],soi_main1_chk_tu[3],soi_main1_chk_tu[2],soi_main1_chk_tu[5],poil,prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[1],map,prs_bpa_dif,egbp_mes[0],prs_cmpr_down,prs_up_cmp_prot[0],amp_mes,pfu_mes,pfu_l_mes,map_mes,prs_thr_down,n,fup,soi_main1,soi_main1_chk_tu[0],soi_main1_tu,fup_sp,soi_main1_bas
soi_main1_chk_tu[2],0.006969844777965609,0.0173847011455273,-0.008529529342306141,-0.008529529342306141,-0.008529529342306141,-0.009055170138358158,0.48197908652646,-0.31568254530768824,-0.6935479147711399,0.2554734707691979,1.0,-0.5296335803070283,-0.0007315581494002268,0.005394047492877131,-0.6935479147711392,-0.07719487775027696,-0.031500317018462405,0.03130886455517766,0.7533114176231978,-0.03145489236076056,-0.001272331476009359,-0.0024844640425554596,-0.3215671101730541,-0.09914024549159005,0.02147917150619031,0.0062317954618245144,-0.0359270960815799,0.0009010640930611554,-0.049821713953768484,-0.4308995068916993,-0.04936110841762258,-0.5567459627035396,-0.5106121091858703
soi_main1_chk_tu[5],0.010301244195643895,-0.007299421181078501,-0.007602098244954817,-0.007602098244954817,-0.007602098244954817,-0.025170422311406173,-0.4760687563732092,0.3475865807122894,0.772539628777316,-0.22222910725037112,-0.5296335803070283,1.0,-0.01777773995834698,0.0049499794276799125,0.7725396287773149,-0.2859799997660205,-0.006506517364659803,-0.011981575824141995,-0.7465896028868447,-6.300161281953759e-07,-0.005883994847452051,0.006558827946799342,0.24868984045156367,0.07375212013721141,-0.018014787712360997,-0.016594476153720686,0.1211857528486517,-0.0004258121318124996,0.1587975814745872,0.34477731534924216,0.16172606142047635,0.9328300113446674,0.804269539840039
poil,-0.0028124993813656496,-0.02972209739111209,-0.03179034186522134,-0.03179034186522134,-0.03179034186522134,-0.023713682467532648,-0.0013561279934326508,-0.013046040804113375,0.0010125769183098687,0.007368374991554727,-0.0007315581494002268,-0.01777773995834698,1.0,-0.010343421054412636,0.0010125769183105785,-0.021163069569853688,-0.018486742898118618,0.020958324118264617,0.0016556373871707275,-0.012016702798124048,-0.020608928121475627,-0.028069014317137563,0.005243022116792385,0.020099643422605618,-0.026877996750577324,-0.03254234667719741,-0.023968772497194257,0.005005486131224024,-0.015575017399076435,0.0009696267499857957,-0.01716831110326003,-0.022595534710587235,-0.010669902388626668
prs_cmpr_up,-0.09121413523396482,0.7842558417288595,-0.04552193577146294,-0.04552193577146294,-0.04552193577146294,-0.044347954648088404,0.01453357699660816,0.0036910762361351225,0.018690650040774866,0.017205080724312056,0.005394047492877131,0.0049499794276799125,-0.010343421054412636,1.0,0.01869065004077462,-0.02518250557931762,-0.054241494789235824,0.046832358635033856,-0.012226843675779801,-0.05693853677963719,0.612252162884602,0.6575148460861866,0.0127826145464191,0.04460643757964264,-0.06406217074479545,-0.04260381670376289,0.004516114257732821,-0.011662864718929059,-0.005714315379190782,-0.0010936907654937199,-0.0076307438092415095,0.012009244798064877,-0.0022800621058245915
prs_eg_mes[0],0.008913934703480977,-0.006146254974568725,0.0428996066117139,0.0428996066117139,0.0428996066117139,0.039858404233692406,-0.5502414487295043,0.4559907224077941,1.0,-0.05415110375189875,-0.6935479147711392,0.7725396287773149,0.0010125769183105785,0.01869065004077462,1.0,-0.29741250151067233,0.039330457539822984,-0.05042603535541343,-0.8855595654201646,0.04333799007997793,-0.002512150133358025,0.009334447295768784,0.2143506769574548,0.06627490079941502,0.02333722991323537,0.014938067029601543,0.11173999793026156,0.015429617692004419,0.0897330768710102,0.369583977862543,0.0944381533746846,0.8079196326934073,0.685485109868952
soi_main1_chk_tu[1],-0.005525823774983533,-0.01429785380603673,-0.004554443197360754,-0.004554443197360754,-0.004554443197360754,-0.018807969260042478,0.1467407828380373,-0.31726156610790085,-0.29741250151067233,-0.19962610456850277,-0.07719487775027696,-0.2859799997660205,-0.021163069569853688,-0.02518250557931762,-0.29741250151067233,1.0,-0.0030428269330026883,-0.0018612541064343944,0.29681004407773426,-0.011051501324861978,-0.0004867373675746287,-0.016279194929537496,0.2567057671104533,0.04416702056533177,-0.024427279577238975,-0.016724230423563077,0.06289580340071742,0.011054054829652266,0.10778424366441415,0.2611087923872215,0.1058286071443273,-0.3073363638947964,-0.11523642831831755
map,0.6013810554286732,-0.04415148425425636,0.6624045635175267,0.6624045635175267,0.6624045635175267,0.7333451757744693,-0.006877336357660869,-0.007009036857739756,0.039330457539822984,-0.025606640512864473,-0.031500317018462405,-0.006506517364659803,-0.018486742898118618,-0.054241494789235824,0.039330457539822984,-0.0030428269330026883,1.0,-0.77248036814035,0.06275494686293505,0.9420093353994721,-0.05658592128591972,-0.05497927955494607,0.025309777879795905,-0.12720746792287277,0.829443539656785,0.6589071477887952,-0.014934076648772152,0.006569812546520302,-0.014047818178914243,0.00048210909184147446,-0.013676163118792177,-0.013831870237486825,-0.01092810876150403
prs_bpa_dif,-0.47110830597656045,0.030805038359359774,-0.7352150481667451,-0.7352150481667451,-0.7352150481667451,-0.6098034119340068,-0.01933200111160985,-0.019330387637660817,-0.05042603535541343,0.012557574228305389,0.03130886455517766,-0.011981575824141995,0.020958324118264617,0.046832358635033856,-0.05042603535541343,-0.0018612541064343944,-0.77248036814035,1.0,-0.03090925379639533,-0.82732841980242,0.04533769324216001,0.046090152968139855,-0.07329241488307112,0.1640478708171689,-0.6560301167461395,-0.5304357131271838,0.010428250881391779,-0.076355447642801,0.016553289129749845,-0.004947647621014905,0.012366896637264157,-0.013276320826579337,-0.005712252644062822
egbp_mes[0],0.028947194700468155,0.015813862977076508,0.06689191471681845,0.06689191471681845,0.06689191471681845,0.0851345974978231,0.5515482260781757,-0.5187377230744384,-0.8855595654201646,0.1372370534762142,0.7533114176231978,-0.7465896028868447,0.0016556373871707275,-0.012226843675779801,-0.8855595654201646,0.29681004407773426,0.06275494686293505,-0.03090925379639533,1.0,0.04939001196779771,0.006491166068775497,-0.0008571002302254706,-0.17623629625895115,-0.07408532536538318,0.11919977672037897,0.07851306239044605,-0.04338621657646896,0.006568180616183791,-0.05580645084259228,-0.2524762411611079,-0.058847029960696455,-0.7813392979022024,-0.5918109691009475
prs_cmpr_down,0.566533454830204,-0.04520068872521104,0.6643224777687784,0.6643224777687784,0.6643224777687784,0.7012778520095339,-0.008231307754402955,0.01105380076839115,0.04333799007997793,-0.024567963136589637,-0.03145489236076056,-6.300161281953759e-07,-0.012016702798124048,-0.05693853677963719,0.04333799007997793,-0.011051501324861978,0.9420093353994721,-0.82732841980242,0.04939001196779771,1.0,-0.05778886712168362,-0.05634650352652489,0.037932753452313034,-0.13002943379251453,0.7842324841325263,0.6309149976772315,-0.017804580894119532,0.021979414920325818,-0.017283251993656257,-0.010709044131067599,-0.015960562593086595,-0.005248529451976776,-0.009075648211151319
