,time,prs_sp_bpa,prs_bpa,prs_thr_up_sp,prs_tur_down,prs_thr_up,fup_mes,prs_cmpr_up,poil,prs_eg_mes[0],prs_eg[0],soi_main1_chk_tu[1],soi_main1_chk_tu[3],soi_main1_chk_tu[5],soi_main1_chk_tu[2],soi_main1_chk_tu[4],map,amp_mes,prs_cmpr_down,map_mes,prs_up_cmp_prot[0],egbp_mes[0],prs_bpa_dif,pfu_mes,pfu_l_mes,n,prs_thr_down,soi_main1,soi_main1_tu,soi_main1_chk_tu[0],fup,fup_sp,soi_main1_bas
prs_up_cmp_prot[0],0.22442965424728203,0.7652160795336904,0.7652160795336904,0.7652160795336904,0.763632541141922,0.7630055940154371,-0.003757645114405419,0.7650025145496161,-0.005409401666297167,0.05808653810510137,0.05808653810510137,0.04544594029826497,0.04553339846462786,0.04543312738702363,0.04550813192879819,0.045488490402105855,0.9493340160023891,0.9071306470691963,0.9983117057849942,0.051164817880581595,1.0,0.06093072689824368,-0.995867852725792,0.00573096170892525,0.020231083590991364,0.009436996908224828,0.9067083064968946,0.01232749056587416,0.04542269486082943,0.0453860031933396,0.005744558218711313,0.0065753892597665885,0.0010503419071196895
egbp_mes[0],0.3099567350589802,0.047904296708911616,0.047904296708911616,0.047904296708911616,0.04772428675012348,0.04725711103664869,-0.0919000334791796,0.05461864747198831,0.0032987489085734346,0.9289659936390028,0.9289659936390028,0.9565957669848119,0.9571261410729602,0.9562978005786599,0.9572068915020578,0.956692269616053,0.06384882466275361,0.061929614878765624,0.06172773772261627,0.9776162398737237,0.06093072689824368,1.0,-0.06067789529979414,-0.03066642774168469,0.01148066228911486,-0.0076392006068908185,0.05623793222643149,-0.02782060892749455,0.9566319100669334,0.9563601918842857,-0.01057564961946348,-0.1726618204581555,-0.12584481438451361
prs_bpa_dif,-0.22389524472856354,-0.7621079469092518,-0.7621079469092518,-0.7621079469092518,-0.7605266841866815,-0.7599005554963442,0.004420061301034331,-0.7631337837221639,0.006497704364943541,-0.057574751277610595,-0.057574751277610595,-0.04523963004711039,-0.04532242640351928,-0.0452214691531355,-0.0453013826773364,-0.04527733746005783,-0.9457555930331755,-0.9036286708566351,-0.9949039936441325,-0.05085481154177195,-0.995867852725792,-0.06067789529979414,1.0,-0.00596397387855926,-0.01797846918114206,-0.010158905359684252,-0.9073574404144225,-0.013024187634483602,-0.045216368603548544,-0.045179286554996964,-0.006430500408760714,-0.0055866571656022395,-0.0009168737652260202
pfu_mes,-0.012151594453813266,0.006331183468667708,0.006331183468667708,0.006331183468667708,0.006612292558278721,0.006803596649903097,-0.23308605392550816,0.0078116068129206505,-0.011991774840422456,-0.15918045486639593,-0.15918045486639593,-0.09620707665294226,-0.09759104016271007,-0.09839296898284412,-0.09660127193783481,-0.09860884977205399,0.006717669961518543,0.008745866481630385,0.0060704643516287645,-0.09301482950659824,0.00573096170892525,-0.03066642774168469,-0.00596397387855926,1.0,-0.021511285450389148,-0.026757077639258636,0.007191986899345064,-0.054174248413993584,-0.09719551189344225,-0.09700296826824885,-0.035710619258189434,-0.4263633878190378,-0.26097317050656005
pfu_l_mes,0.022681749481461698,0.01407730430801095,0.01407730430801095,0.01407730430801095,0.012947235360975907,0.012190036795509836,-0.010784707520905205,0.016330535744392336,0.014005201336773503,0.020582076290369376,0.020582076290369376,0.016668105539641896,0.016504773040067606,0.016615378983783385,0.016487210589262218,0.01663794136417128,0.01983581067708323,0.017993108465500975,0.01878499164744521,0.01611357543175936,0.020231083590991364,0.01148066228911486,-0.01797846918114206,-0.021511285450389148,1.0,0.09544103703985798,0.017305158949426153,0.08446929068527642,0.016832062404961448,0.01661292881567622,-0.23278856069529685,0.022639600136474404,0.020874918427713388
n,0.005044431322123782,0.0090692169912622,0.0090692169912622,0.0090692169912622,0.010248086691684278,0.010536197412917767,0.016602725029754364,0.011335263331238212,0.0037909932281890322,0.012147395641012727,0.012147395641012727,-0.0025241021886455157,-0.002358611323536954,-0.002214129974974478,-0.0024603921053972916,-0.00234621557466711,0.009123798010583339,0.01193654342010579,0.010180862704361058,-0.0006607019848202935,0.009436996908224828,-0.0076392006068908185,-0.010158905359684252,-0.026757077639258636,0.09544103703985798,1.0,0.011573042005545556,0.8982270416609426,5.183593906091979e-05,-0.0022874929111085652,-0.027891777118675017,0.06405372171991784,0.059286960290610424
prs_thr_down,0.20624883103813324,0.8271695659606636,0.8271695659606636,0.8271695659606636,0.8245235352827666,0.823297867845161,-0.006753467615895847,0.7702433687486355,-0.02214493235400957,0.05331465278425199,0.05331465278425199,0.04177886912958068,0.041789806893694555,0.04176143756395053,0.041782442499642795,0.04175638787674974,0.788485512749082,0.8508393177828931,0.9062660843107998,0.04705020138988502,0.9067083064968946,0.05623793222643149,-0.9073574404144225,0.007191986899345064,0.017305158949426153,0.011573042005545556,1.0,0.012529343716984933,0.041777201633302154,0.0417385284528123,0.00018752798841351512,0.006825319803076567,0.0013156968808829916
soi_main1,-0.004940411677707476,0.010373094367057453,0.010373094367057453,0.010373094367057453,0.011338883861165914,0.011791744758636506,0.04507646614444923,0.01226925636953865,0.0021532440961404948,0.007279428583275713,0.007279428583275713,-0.019098911724389322,-0.018762506175183147,-0.018478578148680837,-0.01902347839181526,-0.01859506490743998,0.013323296112948515,0.014674488538448808,0.013152024351554572,-0.015102357922594718,0.01232749056587416,-0.02782060892749455,-0.013024187634483602,-0.054174248413993584,0.08446929068527642,0.8982270416609426,0.012529343716984933,1.0,-0.016167237583623772,-0.018636726697414407,-0.0009566871024880185,0.12142771876287223,0.11254672284978444
soi_main1_tu,0.23092217142246224,0.035440852521512356,0.035440852521512356,0.035440852521512356,0.03512098756601189,0.03477765251150918,-0.1272261533319257,0.040127599215393585,0.004954409418119005,0.9578716355033333,0.9578716355033333,0.9999574437322359,0.9998990181398615,0.9999631857502171,0.9998994702697497,0.9999234629358023,0.04762670816973358,0.04604418592343292,0.04618021478557623,0.9802527485296461,0.04542269486082943,0.9566319100669334,-0.045216368603548544,-0.09719551189344225,0.016832062404961448,5.183593906091979e-05,0.041777201633302154,-0.016167237583623772,1.0,0.9999932925536468,-0.009317650496745222,-0.029819283684452323,0.022911827417548866
soi_main1_chk_tu[0],0.2308258634827726,0.0354116211907438,0.0354116211907438,0.0354116211907438,0.03508643041039999,0.03474346371665238,-0.1283015853457547,0.040090835338563155,0.004954638600615683,0.9581131231060566,0.9581131231060566,0.9999609949902328,0.9998928219818229,0.9999651841166047,0.9998959799598581,0.9999203159206254,0.0475913536923536,0.045998090691880954,0.046141378749426365,0.9802509587761955,0.0453860031933396,0.9563601918842857,-0.045179286554996964,-0.09700296826824885,0.01661292881567622,-0.0022874929111085652,0.0417385284528123,-0.018636726697414407,0.9999932925536468,1.0,-0.0090346546371917,-0.02917114210089316,0.024354603337283787
