Rank,Sensor,Nominal Mean,Fault Mean,Nominal Std,Fault Std,% Change,t Statistic,p Value,Effect Size,Absolute Effect,Effect_Norm,Pct_Norm,P_Norm,Importance Score
11,prs_bpa,983.5672327037172,981.0512030216123,0.5251560739935667,0.34492069377306767,-0.255806578182622,327.1367390233716,0.0,6.161265542252562,6.161265542252562,0.46059625416059735,0.001995369915855964,1.0,0.43089673805505546
12,prs_sp_bpa,983.5672327037172,981.0512030216123,0.5251560739935667,0.34492069377306767,-0.255806578182622,327.1367390233716,0.0,6.161265542252562,6.161265542252562,0.46059625416059735,0.001995369915855964,1.0,0.43089673805505546
13,prs_thr_up_sp,983.5672327037172,981.0512030216123,0.5251560739935667,0.34492069377306767,-0.255806578182622,327.1367390233716,0.0,6.161265542252562,6.161265542252562,0.46059625416059735,0.001995369915855964,1.0,0.43089673805505546
14,pfu_mes,7.931543984356243,8.802693328900443,0.640118468607455,2.021791349970797,10.983351365918265,-43.71516468659828,0.0,-0.5057626579505977,0.5057626579505977,0.03780917802500446,0.08567351569506139,1.0,0.24460664372102064
15,fup,7.9301885590909045,8.78143453039076,0.5888062010802375,1.9919136083941413,10.734246291332067,-43.884319189178306,0.0,-0.5029803605494503,0.5029803605494503,0.03760118248380583,0.08373041956654234,1.0,0.24391971711186564
16,fup_mes,7.929238542037379,8.781693590099971,0.6494383666960917,2.0223122980398367,10.750780715490468,-42.65188691830554,0.0,-0.49448221850517043,0.49448221850517043,0.0369658889120425,0.08385939315579118,1.0,0.24364076240275861
17,fup_sp,7.942977131887109,8.780341389283837,0.47516605662208006,1.9920655806485006,10.542196502557287,-44.47390902813925,0.0,-0.49795448328172703,0.49795448328172703,0.03722546417926123,0.08223237219969899,1.0,0.24328244374954033
18,map_mes,1503.9253368662844,1526.7952043768423,32.38969502333267,57.929334346355255,1.520678384088645,-33.92041552707962,3.527009129177322e-244,-0.4440249891352966,0.4440249891352966,0.03319386988710217,0.011861758680563425,1.0,0.22015546254772012
19,prs_eg_mes[0],1876.3269936984038,1893.365752526906,64.14664348367106,49.326440693230204,0.9080911208827834,-17.624913626170144,2.548326707930108e-68,-0.3139439919952004,0.3139439919952004,0.023469435903641884,0.007083389787466077,1.0,0.2138597348880608
20,prs_eg[0],1876.3269936984038,1893.365752526906,64.14664348367106,49.326440693230204,0.9080911208827834,-17.624913626170144,2.548326707930108e-68,-0.3139439919952004,0.3139439919952004,0.023469435903641884,0.007083389787466077,1.0,0.2138597348880608
21,egbp_mes[0],1859.719431063884,1874.885830455562,62.97685672723845,47.01658747709186,0.8155208327850694,-16.074793987619362,2.750574748744759e-57,-0.2894463666380576,0.2894463666380576,0.021638072785472435,0.00636131309465941,1.0,0.21272743032113406
22,poil,6848.312851549961,6847.989599964765,2.4601493488607464,2.520315654445523,-0.0047201638155712385,8.096627603193912,6.256865804070075e-16,0.12919037953926446,0.12919037953926446,0.00965785429654054,3.681872820635143e-05,0.9999773627287408,0.20483544531248035
23,n,1194.1554609262055,1199.3704883966348,74.02023857760804,3.8840410693106966,0.43671260912581855,-5.242709511673264,1.6408706507380937e-07,-0.12722671435668703,0.12722671435668703,0.00951105704826124,0.003406492547281261,0.5654102505130366,0.11885952639092233
24,soi_main1_chk_tu[3],1.916269337502077,1.9210358619985868,0.07132721037622738,0.016360274033846066,0.2487397989012941,-4.919343153366511,8.923135269614396e-07,-0.11438374604945908,0.11438374604945908,0.008550958338987011,0.001940246865932325,0.5041235030502408,0.10568225383932137
25,soi_main1,1.9156517051267048,1.9228513389396875,0.12282699068397583,0.016233299114035548,0.3758320885636422,-4.347822769714345,1.3992068056392559e-05,-0.10412694022618955,0.10412694022618955,0.007784192759829169,0.0029316057791048287,0.404509838342427,0.08567354578213143
26,soi_main1_tu,1.915655891221401,1.9228402202857335,0.12282417953070741,0.01622840541069066,0.37503233734488084,-4.338688791776716,1.4584303609522434e-05,-0.10390907789400018,0.10390907789400018,0.007767906077581673,0.0029253674738453513,0.4030095227943415,0.08536346783981275
27,soi_main1_chk_tu[0],1.9176533519918095,1.9217597272358475,0.07173799461829562,0.01653425040987613,0.21413542962667562,-4.2132998334695415,2.5548205464018547e-05,-0.09792669849563378,0.09792669849563378,0.007320682772084001,0.0016703221521180852,0.38271996523448465,0.08070543107857436
28,soi_main1_bas,1.9174052543167617,1.9214845462385075,0.07194788426985767,0.01615992325946865,0.2127506385289126,-4.175693197291133,3.014419758787746e-05,-0.09726197546621843,0.09726197546621843,0.007270990231598063,0.001659520356027256,0.37673302148133675,0.07947995551887456
29,soi_main1_chk_tu[5],1.9172327043583528,1.9210519927941623,0.07193738486566909,0.017388026234416223,0.1992083917162101,-3.9034451585364938,9.590284037268091e-05,-0.09034188282593245,0.09034188282593245,0.006753666521606701,0.001553886669532017,0.3348473771273352,0.07081247468712999
30,soi_main1_chk_tu[4],1.9191820116850888,1.9226043224841105,0.07200886688938102,0.015708107415449847,0.1783213253451033,-3.5023699391737333,0.00046462859976152736,-0.08176833297913973,0.08176833297913973,0.006112735706790991,0.0013909611335137858,0.27774117168365664,0.05902189053018096
31,soi_main1_chk_tu[1],1.922100478351365,1.9238396788777135,0.07205529363917623,0.016189405701381547,0.09048437092321558,-1.777634534375776,0.0755163756057398,-0.04140428152509465,0.04140428152509465,0.003095249968677243,0.0007058058978703856,0.09349657184051025,0.020458681121801787
32,soi_main1_chk_tu[2],1.9255164002966219,1.926528547068392,0.07184741159377601,0.015375447913276285,0.052564952010492605,-1.0385509182712749,0.2990571850012125,-0.024282031201371745,0.024282031201371745,0.0018152459974438337,0.0004100227782073306,0.043687146581576276,0.009768059148499372
33,pfu_l_mes,4078.244628555349,4077.443414145267,214.68764873338614,112.06498040606309,-0.019646060574006217,0.262634800502503,0.7928399118737967,0.005308812483132619,0.005308812483132619,0.00039686962475535997,0.0001532453094559202,0.008401207951371654,0.001924649995488787
