,time,prs_bpa,prs_sp_bpa,prs_thr_up,prs_tur_down,fup_mes,prs_thr_up_sp,soi_main1_chk_tu[1],soi_main1_chk_tu[4],prs_eg[0],prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[2],soi_main1_chk_tu[5],soi_main1_chk_tu[3],poil,map,pfu_mes,egbp_mes[0],prs_up_cmp_prot[0],prs_bpa_dif,prs_cmpr_down,amp_mes,pfu_l_mes,map_mes,ti_main1_tu,prs_thr_down,ti_main1_tu_[0],fup,soi_main1_tu,soi_main1,soi_main1_chk_tu[0],n,soi_main1_bas
map,-0.08535484940362302,0.7768807665370224,0.7768807665370224,0.7769042414034848,0.7769776404054669,1.0982303643547578e-05,0.7768807665370224,-0.020240649192246368,0.02670190436827386,0.0464838752214946,0.8089950237402637,0.0464838752214946,-0.016778315499811677,0.0014433058012479692,0.019724120716900537,0.02746424503009794,1.0,-0.012570837635098784,0.029781402309403765,0.9384330813437173,-0.9339168377894556,0.9404989193130356,0.8953083117319729,0.025074073700801138,0.02772923881081733,0.002329944160269114,0.7760985635408684,0.024614983713583893,0.09166343301353841,-0.010914215461828714,-0.011457985895957867,-0.013710797051319905,-0.0034218494091037355,-0.019527607667647166
pfu_mes,0.2474496437509274,-0.0076187784323114615,-0.0076187784323114615,-0.007621893545096099,-0.008054646503295742,0.5344296100657163,-0.0076187784323114615,0.3672900272903277,-0.29334997598494794,-0.22172288651887617,-0.012696288061526081,-0.22172288651887617,0.39984970603339975,-0.26381797812825697,-0.1937976562269826,-0.009754354062375941,-0.012570837635098784,1.0,-0.4391837011431641,-0.01295942574671839,0.013311134458997839,-0.012915974496851383,-0.008220359426569018,0.029759219080632403,-0.4426956833784325,-0.19588725366335738,-0.009593955337167366,-0.4523688658665042,0.014399158945295554,0.11510266092553738,0.11580225758820341,0.2212023191725658,-0.004464973806638698,0.31511954805465414
egbp_mes[0],-0.5931508841209199,0.023672544481045086,0.023672544481045086,0.02352045142749012,0.02429853440019577,-0.20212394798143385,0.023672544481045086,-0.8522602144096202,0.6801915041347427,0.27037361336071064,0.032597845564826956,0.27037361336071064,-0.8170583953134204,0.47225536751074143,0.5633617569240467,0.013182754766468617,0.029781402309403765,-0.4391837011431641,1.0,0.029257577972389728,-0.029681341684800272,0.028931165948307438,0.023076239055794596,-0.06393278518414298,0.9717431124715739,0.4455866974247274,0.02929373639838128,0.9798633770453243,0.016522915017571728,-0.26648690370316835,-0.2669965927408179,-0.7259262076501022,0.0022070937542320395,-0.8124188537312691
prs_up_cmp_prot[0],-0.08155429880056622,0.8060229100924388,0.8060229100924388,0.8043121743406408,0.8050466228161163,-0.004713061796373361,0.8060229100924388,-0.019049982870209082,0.029051589327112055,0.04169994560323759,0.8077041159390368,0.04169994560323759,-0.015109582653937225,0.00489742052205932,0.020945579802888536,0.020070081474139564,0.9384330813437173,-0.01295942574671839,0.029257577972389728,1.0,-0.996311371583309,0.9983520239425013,0.872548309584253,0.01798990511303691,0.02669518503642291,0.006174780141665369,0.8912916100028657,0.02338305201055091,0.08875521053413529,-0.010019698325115171,-0.01057142671918698,-0.012619311280092822,-0.005472779592336137,-0.01787259455349091
prs_bpa_dif,0.0805531025248552,-0.8042371429181919,-0.8042371429181919,-0.8025284031478136,-0.8032621459902245,0.005226922771779771,-0.8042371429181919,0.019992408955652012,-0.02915038091627476,-0.04096686449277509,-0.8066694837547297,-0.04096686449277509,0.015752791471686456,-0.0060272935575945395,-0.02035405945555765,-0.018863313847847448,-0.9339168377894556,0.013311134458997839,-0.029681341684800272,-0.996311371583309,1.0,-0.9946642953501038,-0.8701314060438269,-0.019141253746792257,-0.02715783508743868,-0.005953799491718677,-0.8926344579463641,-0.023959398223450876,-0.08913276705209007,0.010282404443132952,0.010833139892931868,0.014032163279903417,0.004632454043363571,0.019006203826556826
prs_cmpr_down,-0.08070719716327472,0.8068111281233418,0.8068111281233418,0.8051017108830757,0.8058353726069453,-0.005133139886829919,0.8068111281233418,-0.018860803861880146,0.028430269310074235,0.041737415017195786,0.8081615489398187,0.041737415017195786,-0.014755535738913205,0.004632436362197978,0.020903836109037843,0.020875579714540245,0.9404989193130356,-0.012915974496851383,0.028931165948307438,0.9983520239425013,-0.9946642953501038,1.0,0.8732070761639579,0.017923231107473205,0.02641604285618755,0.0060172158470489555,0.8905801347363776,0.02321480523629824,0.08796351297270409,-0.009978453830295204,-0.010529561434953531,-0.012845375561960637,-0.005513966659260991,-0.017894354674265887
amp_mes,-0.08260629757052437,0.8720315995168239,0.8720315995168239,0.8703413255738739,0.871054816258322,-0.0032207168083798906,0.8720315995168239,-0.014067514141120256,0.028740281947062057,0.04114301781184797,0.8451154853957964,0.04114301781184797,-0.009577931281493606,0.00497513667030537,0.023176945781621286,0.02519407359503903,0.8953083117319729,-0.008220359426569018,0.023076239055794596,0.872548309584253,-0.8701314060438269,0.8732070761639579,1.0,0.027432491083454972,0.01976030097568428,0.0031957313113684335,0.815457063617445,0.0157516471976453,0.09240581386456279,-0.005335933513331043,-0.00619922715536379,-0.009386782296855611,-0.004440275692246121,-0.013968961283768922
pfu_l_mes,0.0364343410852898,0.025525008605608256,0.025525008605608256,0.0253125381350002,0.02521098010294132,0.018314196663072196,0.025525008605608256,0.06007127487492776,-0.0438400118422831,-0.007631705296177882,0.026411490570330938,-0.007631705296177882,0.04903537070253024,-0.016836676883715224,-0.032536317405559526,-0.006861240668491397,0.025074073700801138,0.029759219080632403,-0.06393278518414298,0.01798990511303691,-0.019141253746792257,0.017923231107473205,0.027432491083454972,1.0,-0.06665132576239113,-0.01853484027260812,0.020375512098837312,-0.0657521529858405,-0.07448406510646759,-0.002594432005579933,-0.0026108604336465644,0.06486352986411373,-0.025664000158306142,0.06880621128594407
map_mes,-0.5757691660629831,0.020617284984673058,0.020617284984673058,0.020586936234843558,0.021290752518032165,-0.20659707382097925,0.020617284984673058,-0.8529236793152475,0.6029061875965226,0.29481352253164916,0.029547466498006932,0.29481352253164916,-0.8313591213723899,0.4164903387710436,0.4976404598957823,0.01873230901818373,0.02772923881081733,-0.4426956833784325,0.9717431124715739,0.02669518503642291,-0.02715783508743868,0.02641604285618755,0.01976030097568428,-0.06665132576239113,1.0,0.44594563710794094,0.02544892013726583,0.9799168445283742,0.012854374010795333,-0.29696093396263545,-0.2972763949445504,-0.7260681929854934,-0.01178940052350446,-0.8136149819450941
ti_main1_tu,-0.2422144513946811,0.008451020089710659,0.008451020089710659,0.008602356311625245,0.008526260777764475,-0.09308473993258685,0.008451020089710659,-0.40360761877510193,0.2620300045396637,0.11698218885522287,0.013039717847720069,0.11698218885522287,-0.3886031245618003,0.1988968099033732,0.2132593487228466,0.0037810516842595645,0.002329944160269114,-0.19588725366335738,0.4455866974247274,0.006174780141665369,-0.005953799491718677,0.0060172158470489555,0.0031957313113684335,-0.01853484027260812,0.44594563710794094,1.0,0.011505640435353693,0.45506543587949944,0.013766823527676431,-0.5907026280118107,-0.5886924607821669,-0.34119870375885986,-0.5130997237640108,-0.3758193758294081
prs_thr_down,-0.07878621485075665,0.8280504466106041,0.8280504466106041,0.8250509267423134,0.826280945687191,-0.00740408795393308,0.8280504466106041,-0.020969825596184006,0.03209167074369253,0.03474838124166625,0.8104151476679347,0.03474838124166625,-0.013961899599744835,0.007421525859480148,0.022445232100822964,0.004390518278087599,0.7760985635408684,-0.009593955337167366,0.02929373639838128,0.8912916100028657,-0.8926344579463641,0.8905801347363776,0.815457063617445,0.020375512098837312,0.02544892013726583,0.011505640435353693,1.0,0.02275670420022508,0.08139894686101908,-0.0073929177820540115,-0.00784911106614448,-0.020896984653997516,-0.004168889219613501,-0.023400723594133907
ti_main1_tu_[0],-0.5344113665385739,0.018218703583757278,0.018218703583757278,0.017991346529576346,0.018818034849616336,-0.21122271372982623,0.018218703583757278,-0.879211141921206,0.5768448374121291,0.2729905373742973,0.027143836262071026,0.2729905373742973,-0.8592338710143284,0.425960083037691,0.47067662247253733,0.016397763986397553,0.024614983713583893,-0.4523688658665042,0.9798633770453243,0.02338305201055091,-0.023959398223450876,0.02321480523629824,0.0157516471976453,-0.0657521529858405,0.9799168445283742,0.45506543587949944,0.02275670420022508,1.0,0.010889231442271236,-0.31929137393646023,-0.319625537974731,-0.7374874902390274,-0.005676363570922929,-0.8349119806001067
fup,0.00015743358927482897,0.07182307640445926,0.07182307640445926,0.0729522155648804,0.07241106944935749,0.0070663160819475004,0.07182307640445926,-0.009171027807914825,0.005663606556650335,0.029955691252110422,0.08239349756027672,0.029955691252110422,-0.003889341716708741,0.008460050244596864,0.006733130619863227,0.0008710634268651583,0.09166343301353841,0.014399158945295554,0.016522915017571728,0.08875521053413529,-0.08913276705209007,0.08796351297270409,0.09240581386456279,-0.07448406510646759,0.012854374010795333,0.013766823527676431,0.08139894686101908,0.010889231442271236,1.0,0.0160249801577792,0.014224078939360984,-0.006258518977208802,0.0017684435152738283,-0.003479387365455496
soi_main1_tu,0.10916425465686733,-0.005105042379105991,-0.005105042379105991,-0.005340881795184564,-0.005176091226273138,0.06031841159142287,-0.005105042379105991,0.43224602980697935,0.09186896847027706,0.052303249547725354,-0.01360780568804223,0.052303249547725354,0.41141405273342996,-0.0010422127730941634,0.12739634832734278,-0.00893574324158407,-0.010914215461828714,0.11510266092553738,-0.26648690370316835,-0.010019698325115171,0.010282404443132952,-0.009978453830295204,-0.005335933513331043,-0.002594432005579933,-0.29696093396263545,-0.5907026280118107,-0.0073929177820540115,-0.31929137393646023,0.0160249801577792,1.0,0.9932412739788504,0.3787618065528697,0.738381928322538,0.42107426876936904
soi_main1,0.10942435158495582,-0.005457159457235676,-0.005457159457235676,-0.005693318172783834,-0.005528330639294684,0.060465644170408187,-0.005457159457235676,0.4325137244038524,0.0907035066427011,0.05202483647621489,-0.013791190656157736,0.05202483647621489,0.4114565319727711,-0.0019900072182464337,0.12587786127031206,-0.008339618401329865,-0.011457985895957867,0.11580225758820341,-0.2669965927408179,-0.01057142671918698,0.010833139892931868,-0.010529561434953531,-0.00619922715536379,-0.0026108604336465644,-0.2972763949445504,-0.5886924607821669,-0.00784911106614448,-0.319625537974731,0.014224078939360984,0.9932412739788504,1.0,0.3781086448019536,0.7454781765272114,0.4217526558646609
soi_main1_chk_tu[0],0.3943750526890296,-0.01250494548300667,-0.01250494548300667,-0.012446857708478323,-0.013019594264240797,0.1609991801385338,-0.01250494548300667,0.8174958511223763,-0.3596822893324319,0.08430868150872715,-0.021288889066903273,0.08430868150872715,0.677773968200173,-0.17035758716031646,-0.27097840549727104,-0.004864949535802944,-0.013710797051319905,0.2212023191725658,-0.7259262076501022,-0.012619311280092822,0.014032163279903417,-0.012845375561960637,-0.009386782296855611,0.06486352986411373,-0.7260681929854934,-0.34119870375885986,-0.020896984653997516,-0.7374874902390274,-0.006258518977208802,0.3787618065528697,0.3781086448019536,1.0,0.05187982127399311,0.9002598201939707
n,0.0013950894995756013,-0.001924045058775825,-0.001924045058775825,-0.0024137371961631573,-0.0021257145521256814,0.004309768646644027,-0.001924045058775825,0.035818634866503725,0.008110393948561027,0.05625902635120401,-0.007243653418391771,0.05625902635120401,0.03613060752899451,0.045244157781852166,0.0076230149345522065,-0.0039558516064428775,-0.0034218494091037355,-0.004464973806638698,0.0022070937542320395,-0.005472779592336137,0.004632454043363571,-0.005513966659260991,-0.004440275692246121,-0.025664000158306142,-0.01178940052350446,-0.5130997237640108,-0.004168889219613501,-0.005676363570922929,0.0017684435152738283,0.738381928322538,0.7454781765272114,0.05187982127399311,1.0,0.05058377032499372
soi_main1_bas,0.4376617083399172,-0.015046598736740868,-0.015046598736740868,-0.014854068329791099,-0.01554004430465964,0.16415140127366723,-0.015046598736740868,0.9398692035225082,-0.3651430580722901,0.030534725761950186,-0.02473510269445653,0.030534725761950186,0.8265529500417638,-0.27225383401372344,-0.2659442711313651,-0.0059157081904050056,-0.019527607667647166,0.31511954805465414,-0.8124188537312691,-0.01787259455349091,0.019006203826556826,-0.017894354674265887,-0.013968961283768922,0.06880621128594407,-0.8136149819450941,-0.3758193758294081,-0.023400723594133907,-0.8349119806001067,-0.003479387365455496,0.42107426876936904,0.4217526558646609,0.9002598201939707,0.05058377032499372,1.0
