,time,prs_bpa,prs_sp_bpa,prs_thr_up,prs_tur_down,fup_mes,prs_thr_up_sp,soi_main1_chk_tu[4],prs_eg[0],prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[2],soi_main1_chk_tu[5],soi_main1_chk_tu[3],poil,map,pfu_mes,egbp_mes[0],prs_up_cmp_prot[0],prs_bpa_dif,prs_cmpr_down,amp_mes,pfu_l_mes,map_mes,ti_main1_tu,prs_thr_down,ti_main1_tu_[0],fup,soi_main1_tu,soi_main1,n,fup_sp
prs_eg_mes[0],-0.5337593014267343,0.014553770784068313,0.014553770784068313,0.014457422241687395,0.014278572686769676,0.4230799903675093,0.014553770784068313,-0.2526938185679474,1.0,0.01080850921505893,1.0,0.03204725373911308,-0.02754322396697583,-0.3341098860871694,0.014229183916522599,0.02466073794454109,-0.03101663427970001,0.9191295906004423,0.022835894747598028,-0.02343346581858312,0.02296583671566063,0.020763304477473533,-0.028655533721285414,0.9239400760423064,0.431366025193892,0.016365077697069765,0.9252806432776625,0.43554620769990604,-0.18418156608283495,-0.18367055450877154,-0.003973807124429822,-0.2184640067992062
soi_main1_chk_tu[2],-0.010033513169975356,-0.0038548001512445163,-0.0038548001512445163,-0.003851543040811481,-0.0038580571120005584,0.01972390570727099,-0.0038548001512445163,0.005076216680483432,0.03204725373911308,-0.0076074065725900445,0.03204725373911308,1.0,0.0004983856503779854,0.006312567959891374,-0.004571922082212398,-0.00504290575726237,0.008759912209167631,0.04287562657415958,-0.003039504098789776,0.003027746433164429,-0.00301198444009763,-0.0004484224776266791,-0.008775603935092824,0.04432677974098779,0.026262866623134783,-0.003008046406912796,0.046048149891155486,0.03479969790210046,0.04168848693653003,0.04181502016009004,-0.01276906974702335,-0.005737115037298498
soi_main1_chk_tu[5],0.010124569494150885,0.006025633014731884,0.006025633014731884,0.006023698429651221,0.00602756756863431,-0.05422354210178276,0.006025633014731884,0.12197756181637509,-0.02754322396697583,-0.001527506545266815,-0.02754322396697583,0.0004983856503779854,1.0,0.09279610650639805,0.00849822888844882,0.007279885207685896,-0.03570270604038768,-0.028900696878629385,0.0069723794492188695,-0.006965757031051153,0.006956796563131056,0.007240476945367701,0.021764706016417557,0.0030138138829912983,-0.024386069065843452,0.0032609573088574826,-0.028986751121615258,-0.07258885479806007,0.12585935302062382,0.12633475987506212,-0.06422016802213834,-0.08887262502465583
soi_main1_chk_tu[3],0.05608947381130831,-0.022944090505675543,-0.022944090505675543,-0.022971831351325918,-0.022806366078122337,-0.2643502861820909,-0.022944090505675543,0.5946945490113956,-0.3341098860871694,-0.029408202201328823,-0.3341098860871694,0.006312567959891374,0.09279610650639805,1.0,-0.002499365567969741,-0.04349207708972693,-0.10482416850480024,-0.37143025921962397,-0.035514002761723375,0.03649384765229228,-0.036108889836988824,-0.03546876841616184,0.02265749589543738,-0.35479068331003266,-0.1768958544068383,-0.029355031973322104,-0.3668111934267394,-0.3232400320106014,0.4394917297781269,0.4358449813053726,-0.06495566456185904,0.017660933259668585
poil,-0.013526992655127178,-0.0025737281022443046,-0.0025737281022443046,-0.002653327971082809,-0.0024871599073654216,0.009697495336426056,-0.0025737281022443046,0.007504679354824935,0.014229183916522599,-0.0034265340649946687,0.014229183916522599,-0.004571922082212398,0.00849822888844882,-0.002499365567969741,1.0,0.008313312194207868,0.012301788828158246,0.010554862181159912,-6.865171797317075e-05,-0.0018327622260613894,-0.0005163102753576004,0.002302299994862947,-0.041394783274196496,0.009918859870818399,-0.014388198290987473,-0.020493918832511834,0.009199478942240116,0.02970951566912277,-0.0071134505635967816,-0.010786478624694753,0.010145176455418783,-0.009610528823391744
map,-0.004022637755126226,0.8076719458966797,0.8076719458966797,0.8076416290659724,0.8076803571200052,0.015043407374567224,0.8076719458966797,-0.03289328713136219,0.02466073794454109,0.8223091465884337,0.02466073794454109,-0.00504290575726237,0.007279885207685896,-0.04349207708972693,0.008313312194207868,1.0,-0.000697664595485466,0.03189834401671356,0.9208641885594567,-0.9156574954753314,0.923373946092331,0.9142586592113489,-0.01973959008265856,0.0314561549539389,0.012999568719457826,0.7548371918745884,0.03062650230346969,0.013035185782459694,-0.03134680565744352,-0.031276309875062774,0.018133327858065065,-0.010875560728556357
pfu_mes,0.06413631285249405,-0.0006717187911606151,-0.0006717187911606151,-0.001209903741928055,-0.00109987815506107,0.016807552823157653,-0.0006717187911606151,-0.06526007911000525,-0.03101663427970001,-0.0018898405129978645,-0.03101663427970001,0.008759912209167631,-0.03570270604038768,-0.10482416850480024,0.012301788828158246,-0.000697664595485466,1.0,-0.04539177771482517,0.00026848878242507665,0.0003132492043587068,0.0005742808082961621,0.0005005055683652935,-0.052056172399520685,-0.0422375140499716,-0.023310100964850977,-0.000659074966856387,-0.0462298982277013,0.16520092411060264,-0.04708579396998797,-0.047978469417136724,0.05116632943982479,0.1566192156315286
egbp_mes[0],-0.5616851666712349,0.018065944808822596,0.018065944808822596,0.018033450804070403,0.017845545515410073,0.40383557975629214,0.018065944808822596,-0.30367811881218554,0.9191295906004423,0.014914179670941953,0.9191295906004423,0.04287562657415958,-0.028900696878629385,-0.37143025921962397,0.010554862181159912,0.03189834401671356,-0.04539177771482517,1.0,0.030346773082659546,-0.030896859786576032,0.030288991923614637,0.024467050912014905,-0.03196556848796281,0.9838301738983855,0.47131704609754915,0.021696869209770896,0.992282345396644,0.41560493338817367,-0.21251607783160295,-0.21136332321897425,-0.022407594290220725,-0.343829187098903
prs_up_cmp_prot[0],-0.006298044850594158,0.8318646953385443,0.8318646953385443,0.8300424463553119,0.8308490749790782,0.015207284121358165,0.8318646953385443,-0.030728342833559495,0.022835894747598028,0.8286087393222135,0.022835894747598028,-0.003039504098789776,0.0069723794492188695,-0.035514002761723375,-6.865171797317075e-05,0.9208641885594567,0.00026848878242507665,0.030346773082659546,1.0,-0.9957821290404533,0.9979374010286228,0.8652345816502993,-0.023294378869443706,0.029563100287047544,0.009076816566879918,0.879240846501118,0.02873554475525324,0.012130739175297521,-0.02235462745427056,-0.021847353532231772,0.01615445832053867,-0.013327286185104821
prs_bpa_dif,0.0071653258790652305,-0.8297701214880377,-0.8297701214880377,-0.8279474682749401,-0.8287544683986193,-0.015864868441592215,-0.8297701214880377,0.030812076537690573,-0.02343346581858312,-0.8275631256244027,-0.02343346581858312,0.003027746433164429,-0.006965757031051153,0.03649384765229228,-0.0018327622260613894,-0.9156574954753314,0.0003132492043587068,-0.030896859786576032,-0.9957821290404533,1.0,-0.9937172674280046,-0.8610237245506324,0.02356205698363681,-0.030070728697520213,-0.0092447828602323,-0.8817234555838845,-0.029225706859504326,-0.012782043773975578,0.024525626630351505,0.024025789292203534,-0.016696295155652564,0.011888638359654235
prs_cmpr_down,-0.005592274903804059,0.8329033993308721,0.8329033993308721,0.8310804256709016,0.8318875273747429,0.015349761517628008,0.8329033993308721,-0.030922061369394183,0.02296583671566063,0.8291074727985043,0.02296583671566063,-0.00301198444009763,0.006956796563131056,-0.036108889836988824,-0.0005163102753576004,0.923373946092331,0.0005742808082961621,0.030288991923614637,0.9979374010286228,-0.9937172674280046,1.0,0.8672611773001139,-0.023398892267529663,0.029687459383337732,0.009169951064191254,0.8780434997896466,0.028736300603126465,0.012847141918431603,-0.022492826228453146,-0.02198493046559685,0.015285310429953763,-0.012856287854951881
amp_mes,-0.007770306732455495,0.8988290784519669,0.8988290784519669,0.897019644871903,0.8978138785232527,0.01160620494951186,0.8988290784519669,-0.0319220160467902,0.020763304477473533,0.8645387685999629,0.020763304477473533,-0.0004484224776266791,0.007240476945367701,-0.03546876841616184,0.002302299994862947,0.9142586592113489,0.0005005055683652935,0.024467050912014905,0.8652345816502993,-0.8610237245506324,0.8672611773001139,1.0,-0.017602714616995495,0.024911929273338084,0.0058940080765734005,0.7816929850814776,0.023412203450838,0.010590522312510543,-0.02968331582018827,-0.030305475797191003,0.012758262381138615,-0.011953535221533218
pfu_l_mes,0.03010285316953593,-0.019539435399667772,-0.019539435399667772,-0.01998890561051793,-0.019782631069436098,-0.028292220701932682,-0.019539435399667772,0.022921246949098917,-0.028655533721285414,-0.016879694462962443,-0.028655533721285414,-0.008775603935092824,0.021764706016417557,0.02265749589543738,-0.041394783274196496,-0.01973959008265856,-0.052056172399520685,-0.03196556848796281,-0.023294378869443706,0.02356205698363681,-0.023398892267529663,-0.017602714616995495,1.0,-0.03218086354489863,-0.033648048289446286,-0.02080287765484289,-0.03441563544221017,-0.11345866141603167,0.01604936515666459,0.015250669484777282,0.005941900652618409,0.018113110535340367
map_mes,-0.5400956707224153,0.018451075384926352,0.018451075384926352,0.018466344701020182,0.018249582549091276,0.40678201223503385,0.018451075384926352,-0.2823516028581833,0.9239400760423064,0.015171897816011234,0.9239400760423064,0.04432677974098779,0.0030138138829912983,-0.35479068331003266,0.009918859870818399,0.0314561549539389,-0.0422375140499716,0.9838301738983855,0.029563100287047544,-0.030070728697520213,0.029687459383337732,0.024911929273338084,-0.03218086354489863,1.0,0.46854692209715426,0.02134025439110492,0.9872948421065014,0.4020705897726022,-0.19863484811996795,-0.1978400581214311,-0.038878086498769844,-0.3414086823723456
ti_main1_tu,-0.24606950060290153,-0.0017746709139360582,-0.0017746709139360582,-0.0017493706211297493,-0.0018623166282760366,0.18577668484103257,-0.0017746709139360582,-0.162759734091003,0.431366025193892,-0.0031717207144400946,0.431366025193892,0.026262866623134783,-0.024386069065843452,-0.1768958544068383,-0.014388198290987473,0.012999568719457826,-0.023310100964850977,0.47131704609754915,0.009076816566879918,-0.0092447828602323,0.009169951064191254,0.0058940080765734005,-0.033648048289446286,0.46854692209715426,1.0,-0.0008648788640819447,0.47940375119370177,0.3137592078688173,-0.04712107306761282,-0.04839511529574665,-0.30170958270810266,-0.17292545467672377
prs_thr_down,-0.004515911553997982,0.8270129657518533,0.8270129657518533,0.8237550889507581,0.8251928547552718,0.0158220637002278,0.8270129657518533,-0.02817209516491886,0.016365077697069765,0.8218066680054035,0.016365077697069765,-0.003008046406912796,0.0032609573088574826,-0.029355031973322104,-0.020493918832511834,0.7548371918745884,-0.000659074966856387,0.021696869209770896,0.879240846501118,-0.8817234555838845,0.8780434997896466,0.7816929850814776,-0.02080287765484289,0.02134025439110492,-0.0008648788640819447,1.0,0.020392377645848243,0.010164488048318002,-0.025914079345214048,-0.025364616770356983,0.018841641632066832,-0.007563803622634904
ti_main1_tu_[0],-0.532918448117351,0.017557271964877545,0.017557271964877545,0.017609923203210146,0.017380265653779144,0.41095232588646463,0.017557271964877545,-0.2952392980797972,0.9252806432776625,0.01422016383590187,0.9252806432776625,0.046048149891155486,-0.028986751121615258,-0.3668111934267394,0.009199478942240116,0.03062650230346969,-0.0462298982277013,0.992282345396644,0.02873554475525324,-0.029225706859504326,0.028736300603126465,0.023412203450838,-0.03441563544221017,0.9872948421065014,0.47940375119370177,0.020392377645848243,1.0,0.40486598468845714,-0.21038352478214217,-0.20966241607963887,-0.02558048960611268,-0.34260996090829693
fup,-0.15990209960957522,0.006569058698194489,0.006569058698194489,0.005671567317442837,0.005343253267041883,0.3039027292330806,0.006569058698194489,-0.29949561889955867,0.43554620769990604,0.0020091338844261558,0.43554620769990604,0.03479969790210046,-0.07258885479806007,-0.3232400320106014,0.02970951566912277,0.013035185782459694,0.16520092411060264,0.41560493338817367,0.012130739175297521,-0.012782043773975578,0.012847141918431603,0.010590522312510543,-0.11345866141603167,0.4020705897726022,0.3137592078688173,0.010164488048318002,0.40486598468845714,1.0,-0.08671965743338104,-0.08444713857543273,-0.21580417328293486,0.1467369568687822
soi_main1_tu,0.032793766077257494,-0.019982129401323608,-0.019982129401323608,-0.01999821920589071,-0.01996604093956042,-0.15239084172143844,-0.019982129401323608,0.3830109380137731,-0.18418156608283495,-0.02526830951327696,-0.18418156608283495,0.04168848693653003,0.12585935302062382,0.4394917297781269,-0.0071134505635967816,-0.03134680565744352,-0.04708579396998797,-0.21251607783160295,-0.02235462745427056,0.024525626630351505,-0.022492826228453146,-0.02968331582018827,0.01604936515666459,-0.19863484811996795,-0.04712107306761282,-0.025914079345214048,-0.21038352478214217,-0.08671965743338104,1.0,0.9843425478739007,-0.262735216897405,-0.0027010212405653715
soi_main1,0.03271295268561634,-0.020913085837079917,-0.020913085837079917,-0.020929152629016488,-0.02089702040088089,-0.15015259991124696,-0.020913085837079917,0.37485107293408265,-0.18367055450877154,-0.025942604244730914,-0.18367055450877154,0.04181502016009004,0.12633475987506212,0.4358449813053726,-0.010786478624694753,-0.031276309875062774,-0.047978469417136724,-0.21136332321897425,-0.021847353532231772,0.024025789292203534,-0.02198493046559685,-0.030305475797191003,0.015250669484777282,-0.1978400581214311,-0.04839511529574665,-0.025364616770356983,-0.20966241607963887,-0.08444713857543273,0.9843425478739007,1.0,-0.2627366754360575,-0.0022134041433463916
n,0.019192784018085145,0.018274940381166383,0.018274940381166383,0.0175752066730795,0.01791319906539839,0.020548809538177577,0.018274940381166383,-0.043456138194112,-0.003973807124429822,0.019147017425934287,-0.003973807124429822,-0.01276906974702335,-0.06422016802213834,-0.06495566456185904,0.010145176455418783,0.018133327858065065,0.05116632943982479,-0.022407594290220725,0.01615445832053867,-0.016696295155652564,0.015285310429953763,0.012758262381138615,0.005941900652618409,-0.038878086498769844,-0.30170958270810266,0.018841641632066832,-0.02558048960611268,-0.21580417328293486,-0.262735216897405,-0.2627366754360575,1.0,0.12362413355889162
fup_sp,0.24950483185290914,-0.006013165650931206,-0.006013165650931206,-0.008039084009738028,-0.007229950062781861,-0.042435273982237946,-0.006013165650931206,-0.018570843304723517,-0.2184640067992062,-0.00575639488005337,-0.2184640067992062,-0.005737115037298498,-0.08887262502465583,0.017660933259668585,-0.009610528823391744,-0.010875560728556357,0.1566192156315286,-0.343829187098903,-0.013327286185104821,0.011888638359654235,-0.012856287854951881,-0.011953535221533218,0.018113110535340367,-0.3414086823723456,-0.17292545467672377,-0.007563803622634904,-0.34260996090829693,0.1467369568687822,-0.0027010212405653715,-0.0022134041433463916,0.12362413355889162,1.0
