,time,prs_bpa,prs_sp_bpa,prs_thr_up,prs_tur_down,fup_mes,ti_main1_tu_tmp,prs_thr_up_sp,soi_main1_chk_tu[1],soi_main1_chk_tu[4],prs_eg[0],prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[2],soi_main1_chk_tu[5],soi_main1_chk_tu[3],poil,map,pfu_mes,egbp_mes[0],prs_up_cmp_prot[0],prs_bpa_dif,prs_cmpr_down,amp_mes,pfu_l_mes,map_mes,ti_main1_tu,prs_thr_down,ti_main1_tu_[0],fup,soi_main1_tu,soi_main1,soi_main1_chk_tu[0],n,soi_main1_bas,fup_sp
prs_eg[0],-0.5639424103351701,0.8181287713301177,0.8181287713301177,0.8185072970583169,0.06665437100887334,-0.3446725731122433,0.7845456500655398,0.8181287713301177,0.21367138707140115,-0.4814415000629403,1.0,0.07417785044406892,1.0,0.5444424856566356,-0.3530046754399286,0.24856157699443654,0.023374480599466955,0.8183932500392438,0.4593714003757901,0.6720483305919882,0.09195013820348971,-0.8168682908533947,0.8185358323988231,0.09722966721721248,0.061992368251388,0.8171629401774024,0.3306104454753594,0.8173990549340796,0.7847224398746888,0.047002746456740734,0.0840679349863836,0.08234504380452908,0.009168968931868806,0.014686930519537322,-0.1314457729832891,-0.26151279265875904
prs_cmpr_up,-0.12661545507915478,0.0932343078690157,0.0932343078690157,0.09321833962535415,0.7938957696196348,-0.004927067903970336,0.07949080252974862,0.0932343078690157,0.04060717252356899,-0.1006264062549352,0.07417785044406892,1.0,0.07417785044406999,0.06222498780491672,-0.08749167017029313,0.02766581713487015,0.00776967250764884,0.09246617976365155,0.01384582908329806,0.09228398470705737,0.6297946209623595,-0.09258726373478711,0.09250269040669663,0.6772656116921127,0.010028713886904798,0.09414577682175634,0.024774495857580136,0.09214910491029482,0.07930544791355884,-0.007330250829957652,-0.004460537642101009,-0.005215118021866175,-0.031873075776635895,0.005103237731812834,-0.05921712257207646,-0.09616988635550809
prs_eg_mes[0],-0.5639424103351701,0.8181287713301177,0.8181287713301177,0.8185072970583169,0.06665437100887334,-0.3446725731122433,0.7845456500655398,0.8181287713301177,0.21367138707140115,-0.4814415000629403,1.0,0.07417785044406999,1.0,0.5444424856566356,-0.3530046754399286,0.24856157699443654,0.023374480599466955,0.8183932500392438,0.4593714003757901,0.6720483305919882,0.09195013820348971,-0.8168682908533947,0.8185358323988231,0.09722966721721248,0.061992368251388,0.8171629401774024,0.3306104454753594,0.8173990549340796,0.7847224398746888,0.047002746456740734,0.0840679349863836,0.08234504380452908,0.009168968931868806,0.014686930519537322,-0.1314457729832891,-0.26151279265875904
soi_main1_chk_tu[2],-0.4731577961494993,0.8610183024858397,0.8610183024858397,0.8614562611753049,0.054851615249913076,0.15297247834507646,0.8953732742215147,0.8610183024858397,0.3837358447710509,-0.6859308951773235,0.5444424856566356,0.06222498780491672,0.5444424856566356,1.0,-0.758494109581291,0.5281796628251797,0.03003838812601524,0.8602959909576252,0.3112664368816063,0.925404854003246,0.08177686772046507,-0.8593257014684512,0.8599053090616988,0.08159790150891376,0.027738091727655446,0.8607046332216648,0.3773633512700697,0.8598826969811358,0.895679749409763,0.09828611157500398,0.12154013374982135,0.11981451491402156,-0.36714176748883276,-0.026506041312493622,-0.6222241386364296,-0.6192576517402488
soi_main1_chk_tu[5],0.4767866158220178,-0.7480172208595879,-0.7480172208595879,-0.7479023850353103,-0.08128066565173667,-0.15521632560292042,-0.7519382463821533,-0.7480172208595879,-0.40619291682652164,0.7687335730426864,-0.3530046754399286,-0.08749167017029313,-0.3530046754399286,-0.758494109581291,1.0,-0.41778756915437265,-0.022875887307886783,-0.7469754121721366,-0.2382255391063942,-0.8481057489840277,-0.11073096213513187,0.7464957748717823,-0.7464723664041586,-0.10255932275132537,-0.05439220179910775,-0.7477627600892244,-0.32137775241569466,-0.7461034561983837,-0.7521376515345577,-0.007092975285595547,0.024805525221520703,0.0243596464716191,0.4039285996581872,0.053438389857387254,0.8085609781251079,0.9224963829328177
soi_main1_chk_tu[3],-0.20058451714334977,0.39881554826495386,0.39881554826495386,0.39917884558173067,0.02090579589443811,0.07974954895226748,0.41772737640486723,0.39881554826495386,-0.24619032188921405,-0.19937090737928684,0.24856157699443654,0.02766581713487015,0.24856157699443654,0.5281796628251797,-0.41778756915437265,1.0,0.0215585716677289,0.3964613535003805,-0.07117895058157009,0.4562577811818784,0.041611383832142294,-0.3966211390671515,0.3966141821179745,0.037479115894113985,-0.046010417064569056,0.39674917337391064,0.17239825746268783,0.39703939316618686,0.4178256129208173,0.06190492604726566,0.031538597403818265,0.02956831164193369,-0.46030573919389,-0.027385688269055963,-0.46722951182030825,-0.35043578453366675
poil,-0.02590796507320846,0.03396806577942803,0.03396806577942803,0.033893449295318234,0.001039753518432287,0.014408959802125079,0.03051379116491269,0.03396806577942803,0.0056900230466786095,-0.02683937268803572,0.023374480599466955,0.00776967250764884,0.023374480599466955,0.03003838812601524,-0.022875887307886783,0.0215585716677289,1.0,0.0344291968188086,0.007965404286338641,0.03360129536029811,0.0025847506365037926,-0.03480518698323633,0.03402092879850731,0.009871731587879625,0.005972835385657853,0.03459536417522373,0.005785403609506757,0.03416479949600581,0.03036225932973026,0.009054710686112351,0.00032376876800719944,-0.0016515269005904516,-0.017015232823852002,-0.0030080970930943516,-0.017750744197135782,-0.031285581840865016
map,-0.6928805943375266,0.998681685574184,0.998681685574184,0.9989671671278246,0.0817481910286264,-0.058209749615351344,0.9619531781484391,0.998681685574184,0.3986450274778069,-0.7578856885208558,0.8183932500392438,0.09246617976365155,0.8183932500392438,0.8602959909576252,-0.7469754121721366,0.3964613535003805,0.0344291968188086,1.0,0.4303426930327704,0.9606075636174052,0.11513165710617539,-0.9984372225477385,0.9997706784430144,0.1162039536527813,0.09196625418395284,0.9986627327920425,0.40585268161928656,0.9981392627936586,0.9622571321299037,0.051365299665735976,0.07439737066499993,0.07282503058076056,-0.2540899847011271,-0.024884997340081125,-0.5389349137375977,-0.6493990751579112
pfu_mes,-0.23090555585025324,0.43102219920778445,0.43102219920778445,0.4307174863101384,0.01826375312765479,-0.23578214301746725,0.44716953083914823,0.43102219920778445,0.4270878129144109,-0.43291543494240375,0.4593714003757901,0.01384582908329806,0.4593714003757901,0.3112664368816063,-0.2382255391063942,-0.07117895058157009,0.007965404286338641,0.4303426930327704,1.0,0.395765585563557,0.025245024440256388,-0.4320991614950432,0.4306669209892295,0.03859303842303489,0.05242574298951896,0.4283328076953999,0.18440299951582867,0.42912774224044464,0.447221024915882,0.0427427871175767,0.08145289797154993,0.08044672590421466,0.2708462378410246,0.015976359394397354,0.0302897743885682,-0.1784912795742209
egbp_mes[0],-0.604051927037854,0.9610739073735556,0.9610739073735556,0.9612867792918981,0.0824846824971822,0.05237277078105614,0.9600317852393758,0.9610739073735556,0.4471304080927817,-0.8190782525935862,0.6720483305919882,0.09228398470705737,0.6720483305919882,0.925404854003246,-0.8481057489840277,0.4562577811818784,0.03360129536029811,0.9606075636174052,0.395765585563557,1.0,0.11518379625853735,-0.9594985218034554,0.9602128824910964,0.11398996380631769,0.06590580060441094,0.9611092321617025,0.404836010681416,0.9597546318733594,0.960275286246158,0.05693619280354228,0.07345478365232234,0.07192422044996866,-0.31224237376371666,-0.028623445093245468,-0.6447810360378596,-0.7593061054273634
