,time,prs_tur_down,ti_main1_tu_tmp,prs_thr_up_sp,prs_sp_bpa,prs_bpa,prs_thr_up,fup_mes,soi_main1_chk_tu[4],prs_eg[0],soi_main1_chk_tu[3],soi_main1_chk_tu[2],soi_main1_chk_tu[5],poil,prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[1],ti_main1_bas,map,prs_bpa_dif,egbp_mes[0],prs_cmpr_down,prs_up_cmp_prot[0],amp_mes,pfu_mes,pfu_l_mes,map_mes,prs_thr_down,ti_main1_tu,n,fup,soi_main1,soi_main1_chk_tu[0],soi_main1_tu,fup_sp,soi_main1_bas
soi_main1_chk_tu[3],-0.13670250380157856,0.06159273446958686,0.45127373543010807,0.06166994112365779,0.06166994112365779,0.06166994112365779,0.0616136769428971,0.789429214511856,0.9840839918427635,0.824400742811953,1.0,0.9837227001599458,0.9809050940955679,-0.055692005504809815,0.07173609707090835,0.824400742811953,0.9779183360008705,0.4512652694458756,0.08640400862478534,-0.3768052352313318,0.8292333149542523,0.08222327239691843,0.08205985860676944,0.08135526886333372,0.7761160256734879,0.5518156190347242,0.7626716957729953,0.07610106329076388,0.44863271298840285,0.7015321068276117,0.8551294377374485,0.8406027597190926,0.9776115919500475,0.8406140806259118,0.7137436127164778,0.9782690560345997
soi_main1_chk_tu[2],-0.13903549023116818,0.05912369855432626,0.4551449264228047,0.05906794350905037,0.05906794350905037,0.05906794350905037,0.05918280983235552,0.7853532155622654,0.9833018495842935,0.8259566501130134,0.9837227001599458,1.0,0.9734735779575878,-0.05377913744836573,0.07109725720619481,0.8259566501130134,0.9756057570657669,0.455136387814266,0.0867114593596953,-0.3794685963289387,0.8342458320272464,0.08165636048799303,0.08188961648730568,0.08105482109596525,0.7829937317477509,0.5583548783840103,0.7679286396930659,0.07435807020757533,0.4524812483255956,0.7066558438796693,0.8531724540294277,0.8403549617434508,0.9779079804479675,0.840360879693043,0.7157611381893229,0.9730944825623872
soi_main1_chk_tu[5],-0.13716378712424074,0.06384505101765663,0.4481887943623673,0.06382651072038481,0.06382651072038481,0.06382651072038481,0.06374520855745602,0.7803380694655432,0.9851952104915449,0.826575098537688,0.9809050940955679,0.9734735779575878,1.0,-0.05535437294674009,0.07431833083312465,0.826575098537688,0.9842604283049857,0.4481803862522373,0.08817733822286757,-0.3762212128705592,0.8208913369173597,0.0839887867013842,0.08401798516234465,0.08517247620954653,0.786372539947229,0.5451832410194504,0.7555383119996335,0.0774637461402247,0.4455658261479559,0.6948062450146977,0.8635064439279557,0.8402513087904,0.9855344679208808,0.8402285577863494,0.7146020599224374,0.9943372731086938
poil,-0.0015651559455927778,0.007380817509680356,-0.037644520085960795,0.007855222596231991,0.007855222596231991,0.007855222596231991,0.006952002192997227,-0.058001566571473324,-0.0549705427911431,-0.05763870475474314,-0.055692005504809815,-0.05377913744836573,-0.05535437294674009,1.0,0.004080070893760695,-0.05763870475474556,-0.05410473954025975,-0.0376438138673436,0.03369545405704353,0.011957850239374845,-0.058434994188725636,0.021364262353728472,0.021117849626192634,0.02651568140610606,-0.04471080621376951,-0.03704642902252326,-0.05438644971527909,0.0007652352231143626,-0.03742421029492104,-0.05128134738989781,-0.058771664319151824,-0.054790207089413186,-0.05442749870517237,-0.055039049718429066,-0.05176222915460507,-0.052174185024308754
prs_cmpr_up,-0.023693570397878908,0.8779828067591752,0.05098110033816442,0.8759158551843836,0.8759158551843836,0.8759158551843836,0.8803198803318131,0.07097632554488138,0.0730683436214881,0.07747661835822316,0.07173609707090835,0.07109725720619481,0.07431833083312465,0.004080070893760695,1.0,0.07747661835822311,0.07512947906510392,0.05098014392267173,0.7743331106465465,-0.5893955804817805,0.07715710795619013,0.7611889399057538,0.7598734654426816,0.8117501747980134,0.07960093311262002,0.05631393097875995,0.07315456413409784,0.7817556746505382,0.050682739898534834,0.06961119323927466,0.08389780157917846,0.07337606796982635,0.07625624267498765,0.07344945557958324,0.06980274527363534,0.07421137169396062
prs_eg_mes[0],-0.13273839994554196,0.06703424597645088,0.7695778621336641,0.06708196376915178,0.06708196376915178,0.06708196376915178,0.06703678349458618,0.8732158079765344,0.8261114835586973,1.0,0.824400742811953,0.8259566501130134,0.826575098537688,-0.05763870475474556,0.07747661835822311,1.0,0.8213749412081414,0.7695703428103482,0.09228286739474988,-0.5987448918159987,0.9914563817517927,0.08770463543370664,0.08784975504611302,0.08830981908530737,0.8856553917122189,0.8225511821284328,0.9859976743294977,0.08099574514177411,0.7651960164635093,0.9641407992471042,0.9678433619912276,0.9322010272906743,0.826470893857757,0.9322034039025495,0.9476453145086805,0.824121322203027
soi_main1_chk_tu[1],-0.14443508780706305,0.06516355268774308,0.4512023914142208,0.06504999366008962,0.06504999366008962,0.06504999366008962,0.06508435970612357,0.774478111299472,0.9797357128034234,0.8213749412081414,0.9779183360008705,0.9756057570657669,0.9842604283049857,-0.05410473954025975,0.07512947906510392,0.8213749412081414,1.0,0.45119392676841596,0.08897905074081079,-0.37916452550929863,0.8238815645320623,0.08502939923691936,0.08529489128775546,0.08556602575828057,0.8013805484532445,0.5501175372539401,0.7557672015148907,0.07868599149762234,0.4485617865043422,0.6961599670112144,0.8621303993935121,0.8422843450697797,0.9866503148492445,0.8423349276857605,0.7131838347572557,0.9863039105184974
ti_main1_bas,-0.09656357312218367,0.04375564375190807,0.9999812398028781,0.04373895712828687,0.04373895712828687,0.04373895712828687,0.04375564375182499,0.676851233161745,0.44923691492174384,0.7695703428103482,0.4512652694458756,0.455136387814266,0.4481803862522373,-0.0376438138673436,0.05098014392267173,0.7695703428103482,0.45119392676841596,1.0,0.06043754600228638,-0.6294344260255611,0.7690188308006335,0.05761677491537591,0.05767142034772706,0.05763627865770676,0.6869967909215744,0.8011967790229275,0.8239337934694902,0.0535487268547355,0.9947906992655497,0.8933808477064143,0.7466802355384556,0.8494932318495338,0.4497512912610216,0.8495145650512614,0.9271471234696901,0.44824800011380095
map,-0.026987119617484227,0.7222542310075672,0.060438679843834026,0.7221891383399658,0.7221891383399658,0.7221891383399658,0.7222597415471018,0.08582442064323453,0.08704036998414073,0.09228286739474988,0.08640400862478534,0.0867114593596953,0.08817733822286757,0.03369545405704353,0.7743331106465465,0.09228286739474988,0.08897905074081079,0.06043754600228638,1.0,-0.730215644645538,0.09116585015635029,0.9485083881313261,0.9457854290657051,0.896541633973277,0.09689833484418192,0.0672403579056831,0.08689408495261024,0.7819948202403694,0.06008497011671535,0.08253327755471439,0.10054131991416129,0.0865776621196605,0.09005674975083007,0.08656754346647519,0.08269685108900271,0.08860242145521804
prs_bpa_dif,0.08738122888585868,-0.5730911502528182,-0.6294462345609991,-0.5739109326624087,-0.5739109326624087,-0.5739109326624087,-0.5720998209299718,-0.5124893899198308,-0.37552973808435336,-0.5987448918159987,-0.3768052352313318,-0.3794685963289387,-0.3762212128705592,0.011957850239374845,-0.5893955804817805,-0.5987448918159987,-0.37916452550929863,-0.6294344260255611,-0.730215644645538,1.0,-0.5977458897296571,-0.7655448244904366,-0.7673595892104176,-0.6854000128210679,-0.5284524114128434,-0.5834110290028734,-0.627331692862465,-0.6955129828383932,-0.6257624801104148,-0.6541852418246605,-0.5708002510741623,-0.5893423158344455,-0.37858787214340617,-0.5893957978745457,-0.6399465754132263,-0.376264800572223
egbp_mes[0],-0.13296176269195287,0.06610732401033592,0.7690269874977791,0.06604733002790553,0.06604733002790553,0.06604733002790553,0.06610568751024787,0.8850311133600854,0.8261803359561481,0.9914563817517927,0.8292333149542523,0.8342458320272464,0.8208913369173597,-0.058434994188725636,0.07715710795619013,0.9914563817517927,0.8238815645320623,0.7690188308006335,0.09116585015635029,-0.5977458897296571,1.0,0.0871285385962521,0.0870775668996827,0.08677690222451166,0.8910801925053478,0.8229366305925372,0.9869472817649239,0.08128414717573407,0.7646369424274949,0.9648516392283801,0.9665879103415184,0.9333731877909016,0.8248472219981376,0.9334237243352151,0.9431073535713775,0.8193091677358261
prs_cmpr_down,-0.026627508723353795,0.7477634957916415,0.05761785583770916,0.7489028642215694,0.7489028642215694,0.7489028642215694,0.7464054141964067,0.08076462586145863,0.08204624425922985,0.08770463543370664,0.08222327239691843,0.08165636048799303,0.0839887867013842,0.021364262353728472,0.7611889399057538,0.08770463543370664,0.08502939923691936,0.05761677491537591,0.9485083881313261,-0.7655448244904366,0.0871285385962521,1.0,0.9966933697840719,0.8895988511288035,0.09200791929413574,0.0627317740736763,0.08285575384865296,0.8991003496488381,0.05728065462619826,0.07872896499213386,0.09586077970843504,0.08248299129151061,0.08572482081104889,0.08253786569483146,0.07879533115875838,0.08394543120641494
prs_up_cmp_prot[0],-0.026877751095926054,0.74558178129613,0.05767250229523864,0.7467210073708388,0.7467210073708388,0.7467210073708388,0.7442243212907431,0.08026512375542612,0.08208980116264124,0.08784975504611302,0.08205985860676944,0.08188961648730568,0.08401798516234465,0.021117849626192634,0.7598734654426816,0.08784975504611302,0.08529489128775546,0.05767142034772706,0.9457854290657051,-0.7673595892104176,0.0870775668996827,0.9966933697840719,1.0,0.8869263894879816,0.0932233346784236,0.06340210679279477,0.08285770452198228,0.8998927076299155,0.05733498127224812,0.07881403252010855,0.09619327580580989,0.08262027043711735,0.0860660962055765,0.08267507393790129,0.07890857811629096,0.08425142419688228
amp_mes,-0.026702541046247287,0.8331435447788462,0.057637359945941,0.8342901351876371,0.8342901351876371,0.8342901351876371,0.8317862852126161,0.07760795971784316,0.08259614950972777,0.08830981908530737,0.08135526886333372,0.08105482109596525,0.08517247620954653,0.02651568140610606,0.8117501747980134,0.08830981908530737,0.08556602575828057,0.05763627865770676,0.896541633973277,-0.6854000128210679,0.08677690222451166,0.8895988511288035,0.8869263894879816,1.0,0.09057774952176265,0.062397108450422706,0.08309078960961669,0.8323492499806451,0.05730004458910631,0.07857584950349099,0.09573576609043608,0.08229067115729254,0.08632979816041567,0.08229766685166237,0.07911271220566021,0.08489000139903873
pfu_mes,-0.14259643659166657,0.06817467288235327,0.6870035918935737,0.0675910611418081,0.0675910611418081,0.0675910611418081,0.06835686125300096,0.781412200148232,0.7859479314773105,0.8856553917122189,0.7761160256734879,0.7829937317477509,0.786372539947229,-0.04471080621376951,0.07960093311262002,0.8856553917122189,0.8013805484532445,0.6869967909215744,0.09689833484418192,-0.5284524114128434,0.8910801925053478,0.09200791929413574,0.0932233346784236,0.09057774952176265,1.0,0.7138897070434502,0.8613423236478237,0.08436731717162416,0.6830903500040124,0.8434515927364938,0.9131479886393521,0.8681882794518196,0.7986257105323264,0.8681164932438861,0.8447521826029082,0.7931114859760467
pfu_l_mes,-0.09467892161119729,0.04725071969984792,0.801193980650244,0.04686936413117267,0.04686936413117267,0.04686936413117267,0.047090604493700804,0.6948767189074586,0.5496142260155604,0.8225511821284328,0.5518156190347242,0.5583548783840103,0.5451832410194504,-0.03704642902252326,0.05631393097875995,0.8225511821284328,0.5501175372539401,0.8011967790229275,0.0672403579056831,-0.5834110290028734,0.8229366305925372,0.0627317740736763,0.06340210679279477,0.062397108450422706,0.7138897070434502,1.0,0.854459613162939,0.05663697644957175,0.7968195346034423,0.8728193837698486,0.7643665233085766,0.7902089306172222,0.5494802226536326,0.7901319421818099,0.8554963081588166,0.5445494606678263
