,time,prs_bpa,prs_sp_bpa,prs_thr_up,prs_tur_down,fup_mes,prs_thr_up_sp,soi_main1_chk_tu[1],soi_main1_chk_tu[4],prs_eg[0],prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[2],soi_main1_chk_tu[5],soi_main1_chk_tu[3],poil,map,pfu_mes,egbp_mes[0],prs_up_cmp_prot[0],prs_bpa_dif,prs_cmpr_down,amp_mes,pfu_l_mes,map_mes,prs_thr_down,fup,soi_main1_tu,soi_main1,soi_main1_chk_tu[0],n,soi_main1_bas
soi_main1_chk_tu[5],0.050160893838464185,0.010406197014084562,0.010406197014084562,0.009950578986954903,0.009715556151253914,0.10651839831904561,0.010406197014084562,-0.1694798104328394,0.4948030595593787,0.00016119359255031658,0.0034935520708711163,0.00016119359255031658,-0.3207581865550125,1.0,-0.052242672675120574,0.025449059333049678,0.0038851374622480683,-0.1202339546467411,0.1573591917434991,-0.0013625795341900564,0.001067716418773815,-0.0010654088138660406,0.01267867609973399,0.008026639955138684,-0.023424577273549067,-0.004214504200978166,0.004079077925225784,0.18792704374031502,0.18421124132727426,0.3541838630240395,0.15379696592219058,0.15709365789281887
soi_main1_chk_tu[3],-0.0444118570071648,-0.004645183486419204,-0.004645183486419204,-0.005879617232219989,-0.006022590754244819,0.000746433726370218,-0.004645183486419204,-0.19010611982371356,0.2983914621759315,-0.123294661228459,-0.006360023139442506,-0.123294661228459,0.06125407018871776,-0.052242672675120574,1.0,-0.012659387925285632,0.003198333590953165,0.0850075568334129,0.33744539977183047,0.0049269926650156995,-0.005104736589373554,0.0050944399395500845,-0.00960551201714592,-0.006685213385589235,-0.06809641323086417,-0.0008062544066778938,-0.0032540857095893693,0.06902454832399534,0.07003052386976422,-0.22839613821734803,0.12012151815076849,-0.22879517398585805
poil,0.011546068751103337,-0.023442876486878945,-0.023442876486878945,-0.021322319975433986,-0.020782552330231213,-0.013189810784468568,-0.023442876486878945,-0.014283676365197022,0.017551440741718386,-0.005670534774038079,-0.010221167109751308,-0.005670534774038079,-0.019988775308312588,0.025449059333049678,-0.012659387925285632,1.0,-0.012983903893123821,-0.031121484483825217,0.017222807205119053,-0.024976533465816693,0.02521277691183326,-0.025386859226811973,-0.008986620676535217,0.006599526782320775,-0.0015952903737682987,-0.03130591303399181,0.02697918571592754,-0.02090419988635917,-0.016983964318246426,0.014179567211787158,-0.012485938523710789,0.0008026501967372725
map,-0.23807966031845673,0.7722289060102856,0.7722289060102856,0.7727968238596469,0.7725117468191558,-0.002052206965897368,0.7722289060102856,0.008350452339438024,-0.005560495125839964,0.12600296716819243,0.8082799913589298,0.12600296716819243,-0.008535984463414128,0.0038851374622480683,0.003198333590953165,-0.012983903893123821,1.0,0.03355081865297642,0.11869517376600287,0.9438324393514502,-0.9402034198783114,0.9446160341459664,0.8921017076466894,-0.004933718276107223,-0.16569835781376746,0.7800197071274603,0.04897547431119795,0.014496070870409867,0.01400601308628384,0.02178331742559047,0.008756311904697755,0.022241530759781022
pfu_mes,-0.03156989492358991,0.03101285983713413,0.03101285983713413,0.030767018398732433,0.03026593157757139,0.5195084791670476,0.03101285983713413,-0.020970664654004705,-0.10479087243037179,-0.05210930169802996,0.029043389616509607,-0.05210930169802996,0.10172641190577666,-0.1202339546467411,0.0850075568334129,-0.031121484483825217,0.03355081865297642,1.0,-0.0313621702533018,0.03889468675321937,-0.03809216871312401,0.03827307478055571,0.03447528659655856,-0.0071002766613753,-0.02129174984314872,0.034031862775995445,0.026311147015760105,-0.04062999505735246,-0.04243572234211646,-0.16716754823176816,-0.04075997493232925,-0.14283677084777138
egbp_mes[0],-0.5161119388817952,0.08474813447388392,0.08474813447388392,0.08415236158651755,0.08369873645849572,-0.020294286416567543,0.08474813447388392,-0.4444129518148914,0.4963290509263635,-0.04458213445100054,0.09823551286846763,-0.04458213445100054,-0.18022670136797433,0.1573591917434991,0.33744539977183047,0.017222807205119053,0.11869517376600287,-0.0313621702533018,1.0,0.11202900282408118,-0.11327482650528281,0.11219566292341876,0.11306700607820397,-0.011814680746725037,-0.39333312102500356,0.10176446888902722,0.023857054242291773,-0.016075905618129233,-0.014344506546934348,-0.299723922688827,0.09812269902179614,-0.38359776820338254
prs_up_cmp_prot[0],-0.22923476727894945,0.8028704606927396,0.8028704606927396,0.8017006972777323,0.8017363961159792,0.0070742228153286325,0.8028704606927396,0.010975092964809675,-0.007019591981176027,0.11983470710236725,0.8019234529391976,0.11983470710236725,-0.004309301182276235,-0.0013625795341900564,0.0049269926650156995,-0.024976533465816693,0.9438324393514502,0.03889468675321937,0.11202900282408118,1.0,-0.9971631433334144,0.9994353850837452,0.8716174051533386,-0.010158694549958054,-0.16021708332356185,0.8913500618717782,0.05651577326025162,0.020978089855215192,0.021086694199484775,0.018350814423347028,0.012810521416760192,0.019681844492313024
prs_bpa_dif,0.22869445468298744,-0.8014765208453399,-0.8014765208453399,-0.8003075879842126,-0.800342226301658,-0.0064961074350177415,-0.8014765208453399,-0.011886169613123736,0.006748143843321631,-0.12017152200397277,-0.8010436921437618,-0.12017152200397277,0.0033584663348836235,0.001067716418773815,-0.005104736589373554,0.02521277691183326,-0.9402034198783114,-0.03809216871312401,-0.11327482650528281,-0.9971631433334144,1.0,-0.996601019114219,-0.8699530108658923,0.009923113419487654,0.15961176719064438,-0.892488688431649,-0.05731530866883867,-0.02120653620474627,-0.021316626286439065,-0.018858395135919057,-0.014072340173487083,-0.020480203332434038
prs_cmpr_down,-0.22931225485659015,0.8031627961682088,0.8031627961682088,0.8019924458943954,0.8020289085963402,0.006911313992286896,0.8031627961682088,0.010924444167697752,-0.006666594110062179,0.11994255724958741,0.8021425291767827,0.11994255724958741,-0.004496294241541527,-0.0010654088138660406,0.0050944399395500845,-0.025386859226811973,0.9446160341459664,0.03827307478055571,0.11219566292341876,0.9994353850837452,-0.996601019114219,1.0,0.8718556528495252,-0.010880475555992647,-0.16014044247180959,0.8910764312599062,0.05624871562836916,0.02078100006801458,0.02089008053346335,0.01869306678892342,0.012575545726028104,0.019862514431599684
amp_mes,-0.22459898097831935,0.8686424312028233,0.8686424312028233,0.8673965664427726,0.8674632686277596,0.001428308025038753,0.8686424312028233,8.499984089127622e-05,-0.008947560894556986,0.11589310125041097,0.8368434904343506,0.11589310125041097,-0.007005877800413002,0.01267867609973399,-0.00960551201714592,-0.008986620676535217,0.8921017076466894,0.03447528659655856,0.11306700607820397,0.8716174051533386,-0.8699530108658923,0.8718556528495252,1.0,-0.006350733220914363,-0.1517730616724551,0.8129924632320953,0.044233054054695624,0.02264884933709235,0.021897952677599187,0.01507484965711804,0.01967789247172043,0.01619129754589349
pfu_l_mes,0.06627449182800657,-0.012109851430323317,-0.012109851430323317,-0.012974655659677349,-0.012424990955886513,-0.014638735267139597,-0.012109851430323317,-0.007891228459321047,0.0009268036268679585,-0.011011265146219725,-0.014787620184338183,-0.011011265146219725,-0.023109822324513023,0.008026639955138684,-0.006685213385589235,0.006599526782320775,-0.004933718276107223,-0.0071002766613753,-0.011814680746725037,-0.010158694549958054,0.009923113419487654,-0.010880475555992647,-0.006350733220914363,1.0,0.029473798555551076,-0.024580281045269707,0.02283314646890317,-0.05764310198180327,-0.058297001675247,0.009030389490690604,-0.0599019709283732,0.008463585608380902
map_mes,0.7308007206743811,-0.12089845804563643,-0.12089845804563643,-0.1209507235593636,-0.12107738022377583,0.013531088847722555,-0.12089845804563643,0.006025671218769113,-0.05857490905836682,-0.31540749365233767,-0.13858632091582024,-0.31540749365233767,-0.0268618994970482,-0.023424577273549067,-0.06809641323086417,-0.0015952903737682987,-0.16569835781376746,-0.02129174984314872,-0.39333312102500356,-0.16021708332356185,0.15961176719064438,-0.16014044247180959,-0.1517730616724551,0.029473798555551076,1.0,-0.15269216313804562,-0.0019799953836387376,-0.05336794287907441,-0.05315584442355082,-0.022562753864636458,-0.057958762090460206,-0.012086789081180624
prs_thr_down,-0.2163701309119704,0.8266204579468591,0.8266204579468591,0.8241525129708286,0.824423018376145,0.0021195339017939475,0.8266204579468591,0.014891291235603791,-0.015777493024627214,0.11865544317123831,0.7995797566756135,0.11865544317123831,-0.0009673539438621816,-0.004214504200978166,-0.0008062544066778938,-0.03130591303399181,0.7800197071274603,0.034031862775995445,0.10176446888902722,0.8913500618717782,-0.892488688431649,0.8910764312599062,0.8129924632320953,-0.024580281045269707,-0.15269216313804562,1.0,0.05878074082212024,0.023390036842336908,0.02307294192175312,0.020506513825807617,0.018923164742260416,0.02081124069643074
fup,0.005719323309716123,0.0484040476289518,0.0484040476289518,0.048169121409559736,0.04854371829294953,0.025519688633000904,0.0484040476289518,-0.005013872226759468,0.021277881793660337,0.03645697659364962,0.04199737505941836,0.03645697659364962,0.012878297777967826,0.004079077925225784,-0.0032540857095893693,0.02697918571592754,0.04897547431119795,0.026311147015760105,0.023857054242291773,0.05651577326025162,-0.05731530866883867,0.05624871562836916,0.044233054054695624,0.02283314646890317,-0.0019799953836387376,0.05878074082212024,1.0,-0.05191564852584102,-0.05305556017948354,-0.016934352245608544,-0.07606723763464746,-0.00658915963070862
soi_main1_tu,0.003902957429903278,0.0305886570592594,0.0305886570592594,0.03035189580361709,0.030084646907754038,-0.022940013702370827,0.0305886570592594,0.2456223513789211,0.08955952468503488,0.15822951417090073,0.019941833023904378,0.15822951417090073,0.14810405093149676,0.18792704374031502,0.06902454832399534,-0.02090419988635917,0.014496070870409867,-0.04062999505735246,-0.016075905618129233,0.020978089855215192,-0.02120653620474627,0.02078100006801458,0.02264884933709235,-0.05764310198180327,-0.05336794287907441,0.023390036842336908,-0.05191564852584102,1.0,0.9923648819589841,0.24053642933244557,0.7989288979915337,0.2798958885808114
soi_main1,0.004931515584211091,0.030770923969901987,0.030770923969901987,0.030535063286406625,0.030266571618845946,-0.0257052040918755,0.030770923969901987,0.24536695550786744,0.0900762213255335,0.15710546254343966,0.018109477832431612,0.15710546254343966,0.1482122611620106,0.18421124132727426,0.07003052386976422,-0.016983964318246426,0.01400601308628384,-0.04243572234211646,-0.014344506546934348,0.021086694199484775,-0.021316626286439065,0.02089008053346335,0.021897952677599187,-0.058297001675247,-0.05315584442355082,0.02307294192175312,-0.05305556017948354,0.9923648819589841,1.0,0.23672415495490495,0.8060754320437916,0.27849698015768204
soi_main1_chk_tu[0],0.037029670205065375,0.014021030295910907,0.014021030295910907,0.014138506717856433,0.014403603020618544,-0.0208981629969384,0.014021030295910907,0.5454512386735219,-0.1455971581995475,0.5216694196643487,0.016802178094651194,0.5216694196643487,-0.029796373108690846,0.3541838630240395,-0.22839613821734803,0.014179567211787158,0.02178331742559047,-0.16716754823176816,-0.299723922688827,0.018350814423347028,-0.018858395135919057,0.01869306678892342,0.01507484965711804,0.009030389490690604,-0.022562753864636458,0.020506513825807617,-0.016934352245608544,0.24053642933244557,0.23672415495490495,1.0,0.12104434039877057,0.8151303935700084
n,0.004409545799338355,0.01899163091638029,0.01899163091638029,0.01941697566397469,0.01909710780619123,-0.027788452451591273,0.01899163091638029,0.1390545348276042,0.12879734358721961,0.09515936621921377,0.01927005623288021,0.09515936621921377,0.13658798876969785,0.15379696592219058,0.12012151815076849,-0.012485938523710789,0.008756311904697755,-0.04075997493232925,0.09812269902179614,0.012810521416760192,-0.014072340173487083,0.012575545726028104,0.01967789247172043,-0.0599019709283732,-0.057958762090460206,0.018923164742260416,-0.07606723763464746,0.7989288979915337,0.8060754320437916,0.12104434039877057,1.0,0.16329354561558942
soi_main1_bas,0.033480027777609105,0.018803099111703015,0.018803099111703015,0.018207978756542807,0.01870949994228646,-0.0789353426205204,0.018803099111703015,0.7977161129683361,-0.2685591355246235,0.5672066687315533,0.015610402534959421,0.5672066687315533,0.17260681320046353,0.15709365789281887,-0.22879517398585805,0.0008026501967372725,0.022241530759781022,-0.14283677084777138,-0.38359776820338254,0.019681844492313024,-0.020480203332434038,0.019862514431599684,0.01619129754589349,0.008463585608380902,-0.012086789081180624,0.02081124069643074,-0.00658915963070862,0.2798958885808114,0.27849698015768204,0.8151303935700084,0.16329354561558942,1.0
