,time,prs_thr_up_sp,prs_tur_down,fup_mes,prs_bpa,prs_thr_up,prs_sp_bpa,prs_eg[0],soi_main1_chk_tu[1],soi_main1_chk_tu[4],soi_main1_chk_tu[3],prs_eg_mes[0],soi_main1_chk_tu[2],poil,prs_cmpr_up,soi_main1_chk_tu[5],map,prs_up_cmp_prot[0],prs_bpa_dif,pfu_mes,egbp_mes[0],pfu_l_mes,prs_cmpr_down,amp_mes,map_mes,soi_main1_tu,prs_thr_down,n,soi_main1_chk_tu[0],fup,fup_sp
egbp_mes[0],-0.4511671550004457,-0.03699866408208967,-0.03624203100317601,-0.042707665702212766,-0.03699866408208967,-0.03564449328836319,-0.03699866408208967,0.9615358137631013,0.9612379852069604,0.9614213090781961,0.9614206811885119,0.9615358137631013,0.9612376775574444,0.006067779526919663,-0.043215928885917305,0.9613578291710104,-0.047578659801144285,-0.0471829931032445,0.04789090251402978,-0.08464891002161445,1.0,0.01957342895566878,-0.0472900451691106,-0.04426179422925272,0.9614888273806467,0.9611555316581333,-0.04352296778945689,-0.023115902830490108,0.9613930419924257,0.004262654476440264,-0.06033838537329306
pfu_l_mes,-0.06200729898861153,-0.027103090970269566,-0.026203973289804432,0.004684137702784728,-0.027103090970269566,-0.026106391653533085,-0.027103090970269566,0.020024036675994377,0.028229943109622305,0.028071852816732152,0.028071605475953103,0.020024036675994377,0.028229878005122416,-0.039406820524911845,-0.03362216592538179,0.028126835699151684,-0.0421474655093045,-0.046468743652187644,0.045128146250709336,-0.046471458294926,0.01957342895566878,1.0,-0.04686891773335368,-0.035520529576277,0.029012107428599224,0.02837078986304416,-0.0363659588572034,0.016550732933131664,0.028012068479027295,-0.11364930814136777,0.002793721084015122
prs_cmpr_down,0.1279257632099797,0.8302306610257286,0.8291259799989509,-0.0012741908960997703,0.8302306610257286,0.8280734776553929,0.8302306610257286,-0.04666027234976458,-0.05014292184389953,-0.0500501547892335,-0.05004993829448717,-0.04666027234976458,-0.050142814092282356,-0.022800723341301836,0.8232191312125712,-0.05009535608299201,0.9263475781014607,0.9988383939153141,-0.99454941550084,0.00871372583843781,-0.0472900451691106,-0.04686891773335368,1.0,0.8720584795435626,-0.045443790455973694,-0.050227626033574314,0.8750236851670488,0.015276193626991253,-0.05016909053756684,0.012747334025944846,0.003709152082595235
amp_mes,0.13743734182005707,0.8927180523392043,0.8916436933138998,0.006406426319907104,0.8927180523392043,0.8906601870619962,0.8927180523392043,-0.04364047435716537,-0.05106740534982715,-0.05097517380803736,-0.05097495373969435,-0.04364047435716537,-0.05106729582036698,-0.017021614671943724,0.8589787775921723,-0.05102111003487945,0.9137233308918284,0.8707964402690441,-0.8665731416418869,0.013436745232024119,-0.04426179422925272,-0.035520529576277,0.8720584795435626,1.0,-0.04556700432511815,-0.05108237775728611,0.7857981074898536,0.006615528886312581,-0.051022896247640115,0.010395739733507537,0.008090256612229544
map_mes,-0.5070975929787195,-0.037336209525918415,-0.036594664932775356,-0.033033041182325806,-0.037336209525918415,-0.03600029295103861,-0.037336209525918415,0.964808650846865,0.9838256859786552,0.9840793462184458,0.9840784631469718,0.964808650846865,0.9838252374627149,0.003651775520693361,-0.04275043368541685,0.9839750589235337,-0.04648237955864187,-0.045419764104428224,0.046034733709534814,-0.09666855664096873,0.9614888273806467,0.029012107428599224,-0.045443790455973694,-0.04556700432511815,1.0,0.9837439796461122,-0.04406240909961205,-0.04992527706498258,0.9840177111312789,-0.02987214371371982,-0.07048389224770574
soi_main1_tu,-0.543917266429843,-0.042539755288338914,-0.04174378508431877,-0.035191158542505985,-0.042539755288338914,-0.041136132531286465,-0.042539755288338914,0.9644020683183188,0.9999524154589597,0.9997860764838654,0.9997860759286905,0.9644020683183188,0.9999524151341405,0.0059502816236483395,-0.04896357411197009,0.9998987096885671,-0.051867983127235104,-0.050120898901232364,0.05081721052790392,-0.10150984666010396,0.9611555316581333,0.02837078986304416,-0.050227626033574314,-0.05108237775728611,0.9837439796461122,1.0,-0.049674792818360236,-0.06259520332959438,0.9998309678312088,-0.046043966646477134,-0.08715146181468719
prs_thr_down,0.13251250781080162,0.8220952648271562,0.8201736724693716,0.007306114403173554,0.8220952648271562,0.8184823194804085,0.8220952648271562,-0.044274988003842,-0.04955034459168864,-0.04958233655501826,-0.049582118194711144,-0.044274988003842,-0.04955023595837576,-0.029439165753723417,0.8132558417897273,-0.04962802910171373,0.751883197342052,0.8756100433880585,-0.8778742154220979,0.009907808700438052,-0.04352296778945689,-0.0363659588572034,0.8750236851670488,0.7857981074898536,-0.04406240909961205,-0.049674792818360236,1.0,0.020440069296619883,-0.04967352541846124,0.010254567234952399,-2.4458538733411596e-05
n,0.08726627910770465,0.006190292981576131,0.005712053874689816,0.029263478403522357,0.006190292981576131,0.005541127903048876,0.006190292981576131,-0.018118615656098222,-0.06251203567849146,-0.062212417172626565,-0.062213977661058587,-0.018118615656098222,-0.06251276296923707,-0.007592068505051353,0.010635360394129866,-0.062495839314375294,0.012122649747667635,0.014756406704587393,-0.015059181091546334,0.11502795531780882,-0.023115902830490108,0.016550732933131664,0.015276193626991253,0.006615528886312581,-0.04992527706498258,-0.06259520332959438,0.020440069296619883,1.0,-0.06215921362883046,0.14711301783212347,0.27463999621672286
soi_main1_chk_tu[0],-0.5441180721252605,-0.04249031534223125,-0.041694430013748784,-0.03527528383008697,-0.04249031534223125,-0.041086893773035454,-0.04249031534223125,0.9646359480618929,0.999834784504853,0.999932475368861,0.9999324745656747,0.9646359480618929,0.9998347841551006,0.006004707668290536,-0.04892609566550149,0.9998922271387433,-0.051807879504157724,-0.05006245051837963,0.050758701654430194,-0.10119392318088602,0.9613930419924257,0.028012068479027295,-0.05016909053756684,-0.051022896247640115,0.9840177111312789,0.9998309678312088,-0.04967352541846124,-0.06215921362883046,1.0,-0.04573961038392158,-0.08703551517572518
fup,0.07104056144578612,0.007836283381520663,0.007103636280785768,0.07427370613062023,0.007836283381520663,0.007343436602225105,0.007836283381520663,-0.009239707648249952,-0.04599324723821633,-0.045575709195503154,-0.045578422101068786,-0.009239707648249952,-0.04599473876087102,0.026509243805372625,0.005349438618685569,-0.04571793740923753,0.016491583338410883,0.0133418435114506,-0.013770452254431876,0.14811913084152797,0.004262654476440264,-0.11364930814136777,0.012747334025944846,0.010395739733507537,-0.02987214371371982,-0.046043966646477134,0.010254567234952399,0.14711301783212347,-0.04573961038392158,1.0,0.25192363391600886
fup_sp,0.1308075399666495,0.0009360813207117382,0.00019783373717705019,0.07877506975473644,0.0009360813207117382,7.986605367046355e-05,0.0009360813207117382,-0.013212756870474728,-0.08699293727855745,-0.08698534133254243,-0.08698855825157632,-0.013212756870474728,-0.08699456600814111,-0.003464821525917929,-0.007110515322709208,-0.08706740954389358,0.00830868314129893,0.004491972073060927,-0.004022468548102206,0.03906445027260191,-0.06033838537329306,0.002793721084015122,0.003709152082595235,0.008090256612229544,-0.07048389224770574,-0.08715146181468719,-2.4458538733411596e-05,0.27463999621672286,-0.08703551517572518,0.25192363391600886,1.0
